name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Karin Sartorius-Herbst,83.0,2229.99,Healthcare,Healthcare,Germany,False,F
Irving Grousbeck & family,91.0,2229.0,Sports,Sports,United States,True,M
Noam Gottesman,64.0,2228.99,Finance & Investments,Finance & Investments,United States,True,M
K. Dinesh,71.0,2227.96,Technology,Technology,India,True,M
Helena Dassault,36.0,2225.74,Diversified,Diversified,France,False,F
Remi Dassault,25.0,2225.74,Diversified,Diversified,France,False,M
Paul Saville,70.0,2224.15,Real Estate,Real Estate,United States,True,M
Jim Thompson & family,86.0,2223.23,Logistics,Logistics,Ireland,True,M
Cheng Yixiao,42.0,2222.72,Media & Entertainment,Media & Entertainment,China,True,M
Benjamin Otto,50.0,2222.48,Fashion & Retail,Fashion & Retail,Germany,False,M
Ales Zavoral,49.0,2220.24,Fashion & Retail,Fashion & Retail,Czech Republic,True,M
Zhu Yiming,53.0,2219.79,Technology,Technology,China,True,M
Jerry Speyer & family,85.0,2219.31,Real Estate,Real Estate,United States,True,M
Zhang Bangxin,46.0,2218.7,Service,Service,China,True,M
Howard Marks,80.0,2215.88,Finance & Investments,Finance & Investments,United States,True,M
Gordon Wu,90.0,2215.64,Real Estate,Real Estate,Hong Kong,True,M
Dennis Gillings,82.0,2214.99,Healthcare,Healthcare,United Kingdom,True,M
Chen Jinxia,58.0,2213.61,Finance & Investments,Finance & Investments,China,False,F
Jason Murray,47.0,2211.78,Healthcare,Healthcare,United States,True,M
Pawel Marchewka,53.0,2211.11,Technology,Technology,Poland,True,M
Juan March Delgado,86.0,2206.24,Finance & Investments,Finance & Investments,Spain,False,M
Liu Weiping,47.0,2205.17,Food & Beverage,Food & Beverage,China,True,M
Mark Hancock,50.0,2204.32,Healthcare,Healthcare,United States,True,M
Roberto Hernandez Ramirez,84.0,2203.1,Finance & Investments,Finance & Investments,Mexico,True,M
Beda Diethelm,85.0,2200.46,Healthcare,Healthcare,Switzerland,True,M
Adarsh Hiremath,23.0,2200.0,Technology,Technology,United States,True,M
Brendan Foody,23.0,2200.0,Technology,Technology,United States,True,M
Liang Rubo,43.0,2200.0,Technology,Technology,China,True,M
Surya Midha,22.0,2200.0,Technology,Technology,United States,True,M
Vlad Yatsenko,42.0,2200.0,Finance & Investments,Finance & Investments,Ukraine,True,M
Natacha Nikolajevic,59.0,2196.63,Diversified,Diversified,France,False,F
Bijan Tehrani,32.0,2195.72,Gambling & Casinos,Gambling & Casinos,United States,True,M
Laurie Tisch,75.0,2195.7,Diversified,Diversified,United States,False,F
Steven Tisch,77.0,2195.7,Diversified,Diversified,United States,False,M
Hermanto Tanoko,63.0,2193.46,Manufacturing,Manufacturing,Indonesia,False,M
Vivek Chand Burman,89.0,2189.14,Food & Beverage,Food & Beverage,India,False,M
John Armitage,66.0,2189.0,Finance & Investments,Finance & Investments,Ireland,True,M
Bill Austin,84.0,2187.89,Manufacturing,Manufacturing,United States,True,M
Dan Wilks,69.0,2187.36,Energy,Energy,United States,True,M
