rank,person_name,gender,age,country,iso3,wb_country_name,state,city,net_worth_usd_m,net_worth_usd,source_of_wealth,industries,primary_industry,self_made,wealth_gdp_ratio_pct,wealth_per_citizen_usd,wealth_country_share_pct,sector_dominance_score,gdp_usd,population,gdp_year,forbes_uri,scrape_timestamp,birth_year
122,Chen Tianshi,M,41.0,China,CHN,China,Beijing,Beijing,21269.9,21269898000.0,Semiconductors,Technology,Technology,True,0.113477,15.096,0.9964,15.26,18743803170827.2,1408975000.0,2024.0,chen-tianshi,2026-04-10 21:32 UTC,1985.0
123,John Fredriksen,M,81.0,Cyprus,CYP,Cyprus,,London,21034.42,21034424000.0,Shipping,Logistics,Logistics,True,55.891284,15486.0508,37.5917,30.33,37634533331.8902,1358282.0,2024.0,john-fredriksen,2026-04-10 21:32 UTC,1945.0
124,Michael Platt,M,58.0,United Kingdom,GBR,United Kingdom,,Geneva,20901.0,20901000000.0,Hedge funds,Finance & Investments,Finance & Investments,True,0.567032,301.9241,7.7311,16.65,3686033044482.13,69226000.0,2024.0,michael-platt,2026-04-10 21:32 UTC,1968.0
125,Kumar Birla,M,58.0,India,IND,India,,Mumbai,20827.85,20827847000.0,Diversified,Diversified,Diversified,False,0.532696,14.3548,2.1046,12.2,3909891533858.08,1450935791.0,2024.0,kumar-birla,2026-04-10 21:32 UTC,1967.0
126,Prince Alwaleed Bin Talal Alsaud,M,71.0,Saudi Arabia,SAU,Saudi Arabia,,Riyadh,20826.38,20826376000.0,investments,Finance & Investments,Finance & Investments,True,1.679811,589.9776,40.5486,31.99,1239804533333.33,35300280.0,2024.0,prince-alwaleed-bin-talal-alsaud,2026-04-10 21:32 UTC,1955.0
127,John Doerr,M,74.0,United States,USA,United States,California,Woodside,20632.84,20632839000.0,Venture capital,Finance & Investments,Finance & Investments,True,0.071764,60.665,0.2473,23.35,28750956130731.2,340110988.0,2024.0,john-doerr,2026-04-10 21:32 UTC,1951.0
128,Zhong Huijuan,F,65.0,China,CHN,China,Shanghai,Shanghai,20618.31,20618312000.0,Pharmaceuticals,Healthcare,Healthcare,True,0.110001,14.6336,0.9659,15.26,18743803170827.2,1408975000.0,2024.0,zhong-huijuan,2026-04-10 21:32 UTC,1961.0
129,Andrey Melnichenko & family,M,54.0,Russia,RUS,Russian Federation,,Ras Al Khaimah,20422.09,20422087000.0,"Fertilizers, coal",Metals & Mining,Metals & Mining,True,0.939449,142.2806,3.1259,17.19,2173835806671.66,143533851.0,2024.0,andrey-melnichenko,2026-04-10 21:32 UTC,1972.0
130,Renata Kellnerova & family,F,58.0,Czech Republic,CZE,Czechia,,Prague,19994.65,19994654000.0,"Finance, telecommunications",Finance & Investments,Finance & Investments,False,5.761583,1833.5261,19.808,18.66,347034062928.479,10905028.0,2024.0,renata-kellnerova,2026-04-10 21:32 UTC,1967.0
131,Kwong Siu-hing,F,96.0,Hong Kong,HKG,"Hong Kong SAR, China",,Hong Kong,19946.78,19946781000.0,Real estate,Real Estate,Real Estate,False,4.902574,2651.0521,4.7202,16.36,406863396487.342,7524100.0,2024.0,kwong-siu-hing,2026-04-10 21:32 UTC,1929.0
132,Jerry Jones & family,M,83.0,United States,USA,United States,Texas,Dallas,19873.61,19873606000.0,Dallas Cowboys,Sports,Sports,True,0.069123,58.4327,0.2382,23.35,28750956130731.2,340110988.0,2024.0,jerry-jones,2026-04-10 21:32 UTC,1942.0
133,Nancy Walton Laurie,F,74.0,United States,USA,United States,Nevada,Henderson,19842.37,19842368000.0,Walmart,Fashion & Retail,Fashion & Retail,False,0.069015,58.3409,0.2378,23.35,28750956130731.2,340110988.0,2024.0,nancy-walton-laurie,2026-04-10 21:32 UTC,1951.0
134,John Tu,M,84.0,United States,USA,United States,California,Rolling Hills,19822.0,19822000000.0,Computer hardware,Technology,Technology,True,0.068944,58.281,0.2376,23.35,28750956130731.2,340110988.0,2024.0,john-tu,2026-04-10 21:32 UTC,1941.0
135,David Sun,M,74.0,United States,USA,United States,California,Irvine,19798.21,19798210000.0,Computer hardware,Technology,Technology,True,0.068861,58.211,0.2373,23.35,28750956130731.2,340110988.0,2024.0,david-sun,2026-04-10 21:32 UTC,1951.0
136,Andrew Forrest & family,M,64.0,Australia,AUS,Australia,,Perth,19542.14,19542141000.0,Mining,Metals & Mining,Metals & Mining,True,1.112231,718.5453,8.207,16.13,1757022451652.83,27196812.0,2024.0,andrew-forrest,2026-04-10 21:32 UTC,1961.0
137,Philip Anschutz,M,86.0,United States,USA,United States,Colorado,Denver,19401.0,19401000000.0,"Energy, sports, entertainment",Finance & Investments,Finance & Investments,False,0.067479,57.0431,0.2325,23.35,28750956130731.2,340110988.0,2024.0,philip-anschutz,2026-04-10 21:32 UTC,1939.0
138,Qin Yinglin,M,61.0,China,CHN,China,Henan,Nanyang,19289.63,19289634000.0,Pig breeding,Food & Beverage,Food & Beverage,True,0.102912,13.6905,0.9036,15.26,18743803170827.2,1408975000.0,2024.0,qin-yinglin,2026-04-10 21:32 UTC,1965.0
139,Lu Xiangyang,M,63.0,China,CHN,China,Guangdong,Guangzhou,19224.02,19224023000.0,"Automobiles, batteries",Automotive,Automotive,True,0.102562,13.644,0.9006,15.26,18743803170827.2,1408975000.0,2024.0,lu-xiangyang,2026-04-10 21:32 UTC,1962.0
140,Donald Bren,M,93.0,United States,USA,United States,California,Newport Beach,19212.09,19212086000.0,Real estate,Real Estate,Real Estate,True,0.066822,56.4877,0.2303,23.35,28750956130731.2,340110988.0,2024.0,donald-bren,2026-04-10 21:32 UTC,1932.0
141,Brett Adcock,M,40.0,United States,USA,United States,California,Palo Alto,19104.43,19104428000.0,Robots,Technology,Technology,True,0.066448,56.1712,0.229,23.35,28750956130731.2,340110988.0,2024.0,brett-adcock,2026-04-10 21:32 UTC,1986.0
142,Takemitsu Takizaki,M,80.0,Japan,JPN,Japan,,Osaka,18922.79,18922795000.0,Sensors,Manufacturing,Manufacturing,True,0.469828,152.6335,8.6606,25.83,4027597523550.58,123975371.0,2024.0,takemitsu-takizaki,2026-04-10 21:32 UTC,1945.0
143,Dhanin Chearavanont,M,87.0,Thailand,THA,Thailand,,Bangkok,18826.25,18826253000.0,Diversified,Diversified,Diversified,False,3.575617,262.687,20.3641,35.59,526517658841.684,71668011.0,2024.0,dhanin-chearavanont,2026-04-10 21:32 UTC,1939.0
144,Jorge Paulo Lemann & family,M,86.0,Brazil,BRA,Brazil,,Zurich,18823.95,18823951000.0,Beer,Food & Beverage,Food & Beverage,True,0.861184,88.7928,7.0993,15.12,2185821648943.86,211998573.0,2024.0,jorge-paulo-lemann,2026-04-10 21:32 UTC,1939.0
145,Beate Heister,F,75.0,Germany,DEU,Germany,,Neuss,18803.0,18802998000.0,Supermarkets,Fashion & Retail,Fashion & Retail,False,0.401294,225.1409,1.9073,14.32,4685592577804.69,83516593.0,2024.0,beate-heister,2026-04-10 21:32 UTC,1951.0
145,Karl Albrecht Jr. & family,M,78.0,Germany,DEU,Germany,,Muelheim,18803.0,18802998000.0,Supermarkets,Fashion & Retail,Fashion & Retail,False,0.401294,225.1409,1.9073,14.32,4685592577804.69,83516593.0,2024.0,karl-albrecht-jr,2026-04-10 21:32 UTC,1948.0
147,Nik Storonsky,M,41.0,United Kingdom,GBR,United Kingdom,,Dubai,18750.0,18750000000.0,Fintech,Finance & Investments,Finance & Investments,True,0.508677,270.852,6.9354,16.65,3686033044482.13,69226000.0,2024.0,nik-storonsky,2026-04-10 21:32 UTC,1984.0
148,Chen Jianhua,M,55.0,China,CHN,China,Jiangsu,Suzhou,18628.54,18628545000.0,Chemicals,Manufacturing,Manufacturing,True,0.099385,13.2213,0.8727,15.26,18743803170827.2,1408975000.0,2024.0,chen-jianhua,2026-04-10 21:32 UTC,1971.0
149,Wang Weixiu & family,M,75.0,China,CHN,China,Shandong,Yantai,18384.85,18384852000.0,Machinery,Manufacturing,Manufacturing,True,0.098085,13.0484,0.8612,15.26,18743803170827.2,1408975000.0,2024.0,wang-weixiu,2026-04-10 21:32 UTC,1950.0
150,Torstein Hagen,M,83.0,Norway,NOR,Norway,,Lucerne,18230.49,18230486000.0,Cruises,Service,Service,True,3.769802,3271.6391,23.1724,17.74,483592648313.301,5572279.0,2024.0,torstein-hagen,2026-04-10 21:32 UTC,1943.0
151,James Ratcliffe,M,73.0,United Kingdom,GBR,United Kingdom,,London,18223.74,18223745000.0,Chemicals,Manufacturing,Manufacturing,True,0.4944,263.25,6.7408,16.65,3686033044482.13,69226000.0,2024.0,james-ratcliffe,2026-04-10 21:32 UTC,1953.0
152,Ludwig Merckle,M,61.0,Germany,DEU,Germany,,Ulm,18090.4,18090400000.0,Pharmaceuticals,Finance & Investments,Finance & Investments,False,0.386086,216.6085,1.8351,14.32,4685592577804.69,83516593.0,2024.0,ludwig-merckle,2026-04-10 21:32 UTC,1965.0
153,R. Budi Hartono,M,86.0,Indonesia,IDN,Indonesia,,Kudus,18027.05,18027049000.0,"Banking, tobacco",Finance & Investments,Finance & Investments,False,1.291058,63.5902,10.5999,21.42,1396300098190.97,283487931.0,2024.0,r-budi-hartono,2026-04-10 21:32 UTC,1940.0
154,Charles Ergen,M,73.0,United States,USA,United States,Colorado,Denver,18006.46,18006455000.0,Satellite TV,Media & Entertainment,Media & Entertainment,True,0.062629,52.9429,0.2158,23.35,28750956130731.2,340110988.0,2024.0,charles-ergen,2026-04-10 21:32 UTC,1953.0
155,Edwin Chen,M,38.0,United States,USA,United States,New York,New York,18000.0,18000000000.0,Artificial intelligence,Technology,Technology,True,0.062607,52.9239,0.2158,23.35,28750956130731.2,340110988.0,2024.0,edwin-chen,2026-04-10 21:32 UTC,1987.0
156,Eric Smidt,M,66.0,United States,USA,United States,California,Beverly Hills,17923.0,17923000000.0,Hardware stores,Fashion & Retail,Fashion & Retail,True,0.062339,52.6975,0.2148,23.35,28750956130731.2,340110988.0,2024.0,eric-smidt,2026-04-10 21:32 UTC,1960.0
157,Theo Albrecht Jr & family,M,75.0,Germany,DEU,Germany,,Mulheim an der Ruhr,17751.93,17751930000.0,"Aldi, Trader Joe's",Fashion & Retail,Fashion & Retail,False,0.378862,212.5557,1.8007,14.32,4685592577804.69,83516593.0,2024.0,theo-albrecht-jr,2026-04-10 21:32 UTC,1951.0
158,Nathan Kirsh,M,94.0,Eswatini (Swaziland),SWZ,Eswatini,,Ezulwini,17618.62,17618625000.0,"Retail, real estate",Fashion & Retail,Fashion & Retail,True,362.606276,14176.306,100.0,100.0,4858885840.77236,1242822.0,2024.0,nathan-kirsh,2026-04-10 21:32 UTC,1932.0
159,Alejandro Baillères Gual & family,M,64.0,Mexico,MEX,Mexico,,Mexico City,17588.46,17588455000.0,Diversified,Diversified,Diversified,False,0.947467,134.4056,6.6828,31.22,1856365616165.94,130861007.0,2024.0,alejandro-bailleres-gual,2026-04-10 21:32 UTC,1961.0
160,John Collison,M,35.0,Ireland,IRL,Ireland,California,San Francisco,17490.0,17490000000.0,Payment software,Technology,Technology,True,2.871179,3241.416,24.2798,32.29,609157459747.205,5395790.0,2024.0,john-collison,2026-04-10 21:32 UTC,1990.0
160,Patrick Collison,M,37.0,Ireland,IRL,Ireland,California,San Francisco,17490.0,17490000000.0,Payment software,Technology,Technology,True,2.871179,3241.416,24.2798,32.29,609157459747.205,5395790.0,2024.0,patrick-collison,2026-04-10 21:32 UTC,1988.0
