name,age,net_worth_million_usd,industries,country,self_made,gender
Phillippe Van de Vyvere,72,1164.99,Logistics,Belgium,True,M
Lim Wee Chai,68,1164.79,Manufacturing,Malaysia,True,M
Vitaly Orlov,60,1164.27,Food & Beverage,Russia,True,M
Chad Richison,55,1163.66,Technology,United States,True,M
Fredrik Österberg,55,1162.84,Gambling & Casinos,Sweden,True,M
Liu Jianjun,65,1161.94,Metals & Mining,China,True,M
Ke Guihua,60,1161.26,Manufacturing,China,True,M
John Christodoulou,60,1161.21,Real Estate,United Kingdom,True,M
Norman Asbjornson,90,1161.16,Manufacturing,United States,True,M
Charles Beauduin,66,1161.13,Diversified,Belgium,False,M
Xie Juhua & family,75,1160.36,Healthcare,China,False,F
Myron Wentz,85,1160.2,Fashion & Retail,St. Kitts and Nevis,True,M
Xiong Xiaochuan,60,1160.09,Healthcare,China,True,M
Maxim Shubarev,57,1159.4,Real Estate,Russia,True,M
Li Xuechun,75,1158.42,Manufacturing,China,False,M
Ben Silbermann,43,1158.16,Media & Entertainment,United States,True,M
He Yamin & family,69,1156.78,Manufacturing,China,True,M
Denise Prenosil,66,1155.85,Fashion & Retail,United States,False,F
Michele Kang,66,1155.38,Technology,United States,True,F
Aditya Khemka,51,1155.32,Manufacturing,India,True,M
Tony Chen,76,1155.29,Technology,Taiwan,True,M
Sam Tarascio,81,1155.19,Real Estate,Australia,True,M
Eiichi Kuriwada,79,1153.95,Logistics,Japan,False,M
Saket Burman,49,1153.2,Food & Beverage,United Kingdom,False,M
Per Franzén,50,1152.07,Finance & Investments,Sweden,True,M
Chris Ellison,68,1151.41,Metals & Mining,Australia,True,M
Zhang Tianyu,58,1151.27,Telecom,China,True,M
Pan Shiyi,63,1151.14,Real Estate,China,True,M
Theresia Gouw,58,1151.0,Finance & Investments,United States,True,F
Shin Dong-joo,72,1150.87,Fashion & Retail,South Korea,False,M
Marco Squinzi,54,1150.35,Construction & Engineering,Italy,False,M
Veronica Squinzi,54,1150.35,Construction & Engineering,Italy,False,F
Scott Smith,77,1150.0,Technology,United States,True,M
Vijay Shekhar Sharma,47,1149.57,Service,India,True,M
Wu Jianbin,46,1148.11,Manufacturing,China,True,M
Thierry Cruanes,58,1146.83,Technology,United States,True,M
Ryuji Arai,79,1146.46,Fashion & Retail,Japan,True,M
Arnold Schwarzenegger,78,1146.33,Media & Entertainment,United States,True,M
Mehmet Kazanci,70,1145.69,Diversified,Turkey,False,M
Alfredo Harp Helu & family,82,1144.83,Finance & Investments,Mexico,True,M
Eddy Sugianto,80,1141.82,Metals & Mining,Indonesia,True,M
Oliver Samwer,52,1141.32,Technology,Germany,True,M
Zan Shengda,63,1140.54,Diversified,China,True,M
Yu De-Chao,62,1139.68,Healthcare,United States,True,M
Ngo Chi Dung,58,1139.54,Finance & Investments,Vietnam,True,M
Eduard Chukhlebov,62,1139.51,Metals & Mining,Russia,True,M
Patokh Chodiev,73,1137.46,Metals & Mining,Belgium,True,M
Laurent Junique,60,1137.14,Technology,France,True,M
Qin Long,60,1136.27,Manufacturing,China,True,M
Craig Abod,62,1136.0,Technology,United States,True,M
Peter Salanki,39,1134.91,Technology,Sweden,True,M
Azman Hashim,86,1133.48,Finance & Investments,Malaysia,True,M
Christian Louboutin,63,1133.2,Fashion & Retail,France,True,M
Fahed Hariri,45,1133.06,Construction & Engineering,Lebanon,False,M
Shigefumi Wada,73,1131.91,Technology,Japan,True,M
Xiong Wu,50,1131.86,Technology,China,True,M
Mustafa Hamied,85,1131.82,Healthcare,India,False,M
Mary Alice Malone Jr,43,1131.79,Food & Beverage,United States,False,F
Zhao Dongping,49,1131.39,Technology,China,True,M
Nguyen Dang Quang,62,1128.52,Food & Beverage,Vietnam,True,M
Laurence Escalante,44,1128.14,Gambling & Casinos,Australia,True,M
Wang Yue,42,1127.54,Technology,China,True,M
Catherine Malone,41,1126.66,Food & Beverage,United States,False,F
Ana Maria Marcondes Penido Sant'Anna,70,1125.44,Construction & Engineering,Brazil,False,F
Igor Kudryashkin,64,1125.12,Metals & Mining,Russia,True,M
Zhang Keqiang,65,1124.96,Real Estate,China,True,M
Sung Kyu-dong,68,1123.9,Technology,South Korea,True,M
Yang Min & family,71,1122.92,Metals & Mining,China,False,F
Sergey Kasyanenko & family,68,1122.74,Food & Beverage,Russia,True,M
Rafal Brzoska,48,1121.84,Logistics,Poland,True,M
Sun Huaiqing & family,56,1121.45,Fashion & Retail,China,True,M
Hideyuki Busujima,73,1120.68,Gambling & Casinos,Japan,False,M
Jiang Long,52,1120.59,Technology,China,True,M
Takaya Awata,64,1120.43,Food & Beverage,Japan,True,M
Chandubhai Virani,69,1120.13,Food & Beverage,India,True,M
Kanjibhai Virani,64,1120.13,Food & Beverage,India,True,M
Daniel Dines,54,1119.78,Technology,Romania,True,M
Catharina Mühleis,33,1119.42,Manufacturing,Germany,False,F
Tatiana Volodina,56,1119.41,Fashion & Retail,Russia,False,F
Shang Xiaobo & family,52,1119.03,Manufacturing,China,True,M
Ryan Israel,41,1118.0,Finance & Investments,United States,True,M
Hiroyuki Inoue,81,1114.98,Manufacturing,Japan,False,M
Chen Huwen,55,1114.48,Manufacturing,China,True,M
Nutchamai Thanombooncharoen,64,1113.89,Food & Beverage,Thailand,True,F
Prayudh Mahagitsiri,80,1113.38,Food & Beverage,Thailand,False,M
Hartley Rogers,66,1112.32,Finance & Investments,United States,True,M
Kostyantin Zhevago,52,1112.11,Metals & Mining,Ukraine,True,M
Li San Yim,76,1111.81,Manufacturing,China,True,M
Qian Jinghong,53,1111.58,Automotive,China,True,F
Zhang Xuewu,51,1109.57,Food & Beverage,China,True,M
Ma Xiuhui,55,1109.34,Manufacturing,China,True,F
Abigail Bennett,45,1109.22,Food & Beverage,United States,False,F
Antonio Luiz Seabra,83,1108.4,Fashion & Retail,Brazil,True,M
Valery Kustov,64,1107.37,Food & Beverage,Russia,True,M
Guillermo Fierro,65,1107.35,Finance & Investments,Spain,False,M
Anton Fedun,41,1107.27,Energy,Russia,False,M
Niraj Shah,52,1106.19,Technology,United States,True,M
Rodney Lewis,71,1105.99,Energy,United States,True,M
Peter Kelly,68,1105.98,Technology,United Kingdom,True,M
Arno Schodl,50,1104.23,Technology,Germany,True,M
Markus Hannebauer,50,1104.23,Technology,Germany,True,M
